State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
05,061,0038,046374,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Nau Gaon Malla,Rural,17,46,21,25,3,2,1,0,0,0,0,0,0,33,19,14,13,2,11,31,12,19,11,9,2,4,3,1,0,0,0,1,1,0,6,5,1,20,3,17,20,3,17,0,0,0,0,0,0,0,0,0,18,3,15,18,3,15,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,15,9,6
05,061,0038,046375,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Kanderi,Rural,75,266,111,155,23,10,13,64,26,38,0,0,0,191,96,95,75,15,60,156,52,104,6,5,1,0,0,0,0,0,0,0,0,0,6,5,1,150,47,103,150,47,103,0,0,0,0,0,0,0,0,0,96,28,68,96,28,68,0,0,0,0,0,0,0,0,0,54,19,35,54,19,35,0,0,0,0,0,0,0,0,0,110,59,51
05,061,0038,046376,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Chair Talla,Rural,39,136,66,70,12,9,3,0,0,0,0,0,0,93,53,40,43,13,30,87,32,55,41,11,30,35,6,29,0,0,0,2,1,1,4,4,0,46,21,25,31,13,18,1,0,1,0,0,0,14,8,6,42,18,24,29,12,17,1,0,1,0,0,0,12,6,6,4,3,1,2,1,1,0,0,0,0,0,0,2,2,0,49,34,15
05,061,0038,046377,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Gawar,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,061,0038,046378,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Pandali,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,061,0038,046379,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Manj Kholi,Rural,34,93,40,53,2,2,0,0,0,0,0,0,0,64,37,27,29,3,26,32,15,17,26,12,14,22,8,14,0,0,0,0,0,0,4,4,0,6,3,3,3,1,2,3,2,1,0,0,0,0,0,0,5,3,2,2,1,1,3,2,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,61,25,36
05,061,0038,046380,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Kund,Rural,12,43,20,23,0,0,0,13,7,6,0,0,0,35,19,16,8,1,7,16,9,7,9,6,3,6,4,2,2,1,1,1,1,0,0,0,0,7,3,4,6,2,4,1,1,0,0,0,0,0,0,0,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,4,2,2,3,1,2,1,1,0,0,0,0,0,0,0,27,11,16
05,061,0038,046381,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Shri Kot,Rural,74,299,119,180,42,17,25,97,40,57,0,0,0,211,95,116,88,24,64,138,48,90,29,25,4,0,0,0,2,2,0,15,15,0,12,8,4,109,23,86,63,4,59,39,13,26,6,6,0,1,0,1,100,20,80,61,4,57,32,10,22,6,6,0,1,0,1,9,3,6,2,0,2,7,3,4,0,0,0,0,0,0,161,71,90
05,061,0038,046382,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Baheli,Rural,72,255,104,151,22,10,12,34,20,14,0,0,0,178,86,92,77,18,59,139,48,91,11,9,2,1,1,0,0,0,0,0,0,0,10,8,2,128,39,89,125,36,89,0,0,0,0,0,0,3,3,0,115,37,78,112,34,78,0,0,0,0,0,0,3,3,0,13,2,11,13,2,11,0,0,0,0,0,0,0,0,0,116,56,60
05,061,0038,046383,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Chorkandi,Rural,92,391,166,225,48,21,27,131,59,72,0,0,0,264,133,131,127,33,94,235,89,146,30,25,5,1,0,1,0,0,0,2,2,0,27,23,4,205,64,141,190,50,140,0,0,0,3,3,0,12,11,1,184,56,128,169,42,127,0,0,0,3,3,0,12,11,1,21,8,13,21,8,13,0,0,0,0,0,0,0,0,0,156,77,79
05,061,0038,046384,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Simtolikhalsa,Rural,10,46,18,28,7,4,3,0,0,0,0,0,0,32,13,19,14,5,9,26,8,18,4,3,1,1,1,0,0,0,0,0,0,0,3,2,1,22,5,17,21,5,16,0,0,0,0,0,0,1,0,1,17,4,13,16,4,12,0,0,0,0,0,0,1,0,1,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0,20,10,10
05,061,0038,046385,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Garhmoun,Rural,21,69,24,45,3,2,1,2,0,2,0,0,0,52,21,31,17,3,14,38,12,26,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,35,11,24,34,10,24,0,0,0,0,0,0,1,1,0,18,7,11,17,6,11,0,0,0,0,0,0,1,1,0,17,4,13,17,4,13,0,0,0,0,0,0,0,0,0,31,12,19
05,061,0038,046386,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Gadariya,Rural,26,95,39,56,11,4,7,24,9,15,0,0,0,66,32,34,29,7,22,55,22,33,9,8,1,0,0,0,0,0,0,0,0,0,9,8,1,46,14,32,46,14,32,0,0,0,0,0,0,0,0,0,32,5,27,32,5,27,0,0,0,0,0,0,0,0,0,14,9,5,14,9,5,0,0,0,0,0,0,0,0,0,40,17,23
05,061,0038,046387,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Palkot,Rural,8,30,12,18,5,2,3,9,4,5,0,0,0,19,9,10,11,3,8,16,8,8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,15,7,8,15,7,8,0,0,0,0,0,0,0,0,0,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,7,4,3,7,4,3,0,0,0,0,0,0,0,0,0,14,4,10
05,061,0038,046388,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Simtoli Gunth,Rural,65,242,108,134,36,14,22,96,44,52,0,0,0,163,83,80,79,25,54,145,63,82,12,9,3,0,0,0,0,0,0,0,0,0,12,9,3,133,54,79,133,54,79,0,0,0,0,0,0,0,0,0,119,49,70,119,49,70,0,0,0,0,0,0,0,0,0,14,5,9,14,5,9,0,0,0,0,0,0,0,0,0,97,45,52
05,061,0038,046389,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Kyardh,Rural,131,488,207,281,58,35,23,111,48,63,0,0,0,363,167,196,125,40,85,212,81,131,65,44,21,8,3,5,4,2,2,4,3,1,49,36,13,147,37,110,112,24,88,28,10,18,2,0,2,5,3,2,139,36,103,106,24,82,26,9,17,2,0,2,5,3,2,8,1,7,6,0,6,2,1,1,0,0,0,0,0,0,276,126,150
05,061,0038,046390,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Ginthali,Rural,100,414,179,235,53,28,25,91,48,43,0,0,0,306,145,161,108,34,74,173,63,110,19,18,1,0,0,0,0,0,0,0,0,0,19,18,1,154,45,109,152,44,108,0,0,0,0,0,0,2,1,1,154,45,109,152,44,108,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,116,125
05,061,0038,046391,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Mondari,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,061,0038,046392,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Ajabpur,Rural,6,23,11,12,2,1,1,13,7,6,0,0,0,14,8,6,9,3,6,17,8,9,11,6,5,10,6,4,0,0,0,0,0,0,1,0,1,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,6,3,3
05,061,0038,046393,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Paliyan,Rural,22,72,27,45,6,4,2,0,0,0,0,0,0,51,21,30,21,6,15,48,17,31,25,8,17,18,2,16,0,0,0,0,0,0,7,6,1,23,9,14,23,9,14,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,21,8,13,21,8,13,0,0,0,0,0,0,0,0,0,24,10,14
